Año;mes;trim;fecha;subclase-desc;subclase-cod;indice2018;indice2022
2019;10;4;oct-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,84;1,116976214
2019;11;4;nov-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,84;1,116976214
2019;12;4;dic-19;Servicios de comunicación fija y móvil y provisión a internet;08310400;103,98;1,129358097
2020;1;1;ene-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,37;1,133594005
2020;2;1;feb-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,34;1,133268166
2020;3;1;mar-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,34;1,133268166
2020;4;2;abr-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;101,02;1,097208646
2020;5;2;may-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;97,80;1,062235256
2020;6;2;jun-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;97,80;1,062235256
2020;7;3;jul-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;97,80;1,062235256
2020;8;3;ago-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;101,72;1,104811556
2020;9;3;sep-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,64;1,136526556
2020;10;4;oct-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,63;1,136417943
2020;11;4;nov-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,63;1,136417943
2020;12;4;dic-20;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,64;1,136526556
2021;1;1;ene-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,64;1,136526556
2021;2;1;feb-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;104,64;1,136526556
2021;3;1;mar-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;103,77;1,127077224
2021;4;2;abr-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;102,64;1,114803954
2021;5;2;may-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,31;1,078635821
2021;6;2;jun-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,02;1,075486043
2021;7;3;jul-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,02;1,075486043
2021;8;3;ago-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,02;1,075486043
2021;9;3;sep-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;99,02;1,075486043
2021;10;4;oct-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2021;11;4;nov-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2021;12;4;dic-21;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;1;1;ene-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;2;1;feb-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;3;1;mar-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;4;2;abr-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;5;2;may-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;6;2;jun-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;7;3;jul-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;8;3;ago-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;9;3;sep-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
2022;10;4;oct-22;Servicios de comunicación fija y móvil y provisión a internet;08310400;92,07;1
