Country;Variable;2018A;2019A;2020A;2021A;2022E;2023E;2024E;2025E;2026E;2027E
Nicaragua;TV por suscripción;321,4228803;352,6123058;379,6261755;412,5030724;447,2991612;479,2884291;507,8974961;534,9297739;559,757565;581,5948414
Panama;TV por suscripción;550,1919332;591,4442752;633,4610037;656,0751722;686,168395;716,8120935;747,2757057;774,7042198;800,3964232;826,4585106
Paraguay;TV por suscripción;601,4627645;560,5091943;618,2341027;592,2193271;613,4738381;668,099803;682,2695608;696,3314876;708,4559151;718,8442308
Peru;TV por suscripción;1976,821;2149,45;2004,039333;1934,075156;2059,637557;2108,135967;2143,508094;2172,341779;2196,537576;2225,040092
Uruguay;TV por suscripción;812,992;794,8709701;679,4897921;644,62;634,235;621,7524252;608,9757529;605,0436717;602,80919;600,5840254
Argentina;Telefonía móvil;56953,18964;56078,21737;54168,48273;57717,00569;58441,42821;59140,06915;59804,64073;60455,9681;61095,75825;61730,02339
Bolivia;Telefonía móvil;11105,91258;11330,56734;11424,58545;11679,87191;11861,1969;12088,4923;12338,3142;12606,59212;12890,41249;13199,63742
Brazil;Telefonía móvil;206821,7605;199990,5827;201989,2417;216511,9957;221495,2877;225248,6745;228165,1034;230566,6962;232620,0126;234621,4012
Chile;Telefonía móvil;26497,00696;26556,49747;26544,51991;28155,82379;28518,82515;28781,5501;28998,75773;29183,2517;29288,93405;29387,04
Colombia;Telefonía móvil;58132,91685;61101,35159;62727,7346;69532,04417;74280,24963;76705,80383;79073,1574;81379,5519;82831,53198;84190,15925
Costa Rica;Telefonía móvil;7971,809354;7950,210574;6892,250482;7149,714041;7172,783411;7244,849547;7292,92889;7323,825574;7352,044686;7377,642245
Dominican Republic;Telefonía móvil;6695,030911;6974,859751;7057,83087;8093,181881;8394,388327;8624,549955;8823,153529;9007,796157;9182,415221;9346,529861
Ecuador;Telefonía móvil;14780,38996;14838,76339;14473,45535;15713,98781;15965,6372;16201,50917;16423,53255;16644,30488;16857,73326;17068,16266
El Salvador;Telefonía móvil;9191,270433;9304,155706;9674,323809;9820,724667;10046,41697;10256,07937;10458,74847;10632,70694;10786,91153;10941,79807
Guatemala;Telefonía móvil;19522,58164;19756,52386;19390,42869;21065,07622;21504,48202;21871,97266;22290,36586;22755,34871;23223,21618;23693,8203
Honduras;Telefonía móvil;6458,066765;6414,355354;6684,685647;7307,190899;7570,55427;7764,341859;7937,029862;8094,827424;8244,839942;8394,88135
Mexico;Telefonía móvil;113035,0041;115030,9678;116282,2882;120580,0205;125675,7023;129363,2682;131656,6981;133250,32;134478,9077;135545,3547
Nicaragua;Telefonía móvil;6315,001866;3380,302473;3171,079025;3335,523456;3529,972824;3712,372824;3884,985431;4045,803223;4192,720298;4344,686905
Panama;Telefonía móvil;4796,917543;4717,008978;4881,452574;5211,547237;5315,764176;5419,230334;5522,143399;5616,273746;5701,863942;5783,914096
Paraguay;Telefonía móvil;6828,551641;7511,170288;7727,713577;7808,600597;7974,860076;8127,48676;8257,185305;8371,427127;8483,751805;8594,472711
